transaction_id,order_id,customer_id,customer_age,gender,signup_date,last_login,country,city,latitude,longitude,channel,payment_method,currency,product_category,product_id,quantity,unit_price,discount_rate,shipping_cost,order_date,ship_date,returned,satisfaction_score,promo_code,is_vip,loyalty_points,notes,delivery_days,duplicate_flag
TXN-300715,ORD-200715,CUST-100715,34.0,Male,2025-01-06,2025-11-07 04:00:00,Ethiopia,Addis Ababa,8.9806,38.7578,Online,MPesa,KES,Beauty,PRD-8067,1,505.58,0.415,544.27,2025-11-15,2025-11-24,False,4,NONE,False,8,Customer called support,9.0,False
TXN-300605,ORD-200605,CUST-100605,43.0,Male,2025-05-01,2025-06-14 15:00:00,Kenya,Kisumu,-0.102206,34.761711,Online,MPesa,KES,Clothing,PRD-4204,4,1886.1,0.0,1174.77,2025-06-18,2025-06-24,False,3,NONE,False,87,Bulk purchase,6.0,False
TXN-300120,ORD-200120,CUST-100120,27.0,Male,2024-01-08,2024-07-23 17:00:00,Tanzania,Dar es Salaam,-6.7924,39.2083,Online,,KES,Groceries,PRD-8799,4,338.23,0.152,1122.75,2024-07-31,2024-08-10,False,4,LOYAL5,False,23,VIP customer,10.0,False
TXN-300208,ORD-200208,CUST-100208,65.0,Prefer not to say,2024-07-14,2025-03-02 18:00:00,Kenya,Mombasa,-4.043477,39.668206,Online,MPesa,KES,Electronics,PRD-5391,1,20016.87,0.205,396.51,2025-03-11,2025-03-13,False,4,WELCOME10,False,163,Customer called support,2.0,False
TXN-300380,ORD-200380,CUST-100380,48.0,Prefer not to say,2025-07-02,2025-10-08 22:00:00,Uganda,Entebbe,0.0487,32.4435,In-Store,MPesa,KES,Groceries,PRD-2101,2,344.16,0.247,1535.04,2025-10-18,2025-10-25,False,4,BUNDLE15,False,21,First-time buyer,7.0,False
TXN-300817,ORD-200817,CUST-100817,60.0,Female,2025-03-02,2025-04-01 18:00:00,Kenya,Nakuru,-0.303099,36.080025,Online,MPesa,KES,Electronics,PRD-4810,2,6740.31,0.359,1218.31,2025-03-25,2025-03-27,False,5,WELCOME10,False,99,Bulk purchase,2.0,False
TXN-300575,ORD-200575,CUST-100575,56.0,Male,2025-01-01,2025-03-12 14:00:00,Kenya,Nairobi,-1.286389,36.817223,In-Store,MPesa,KES,Groceries,PRD-7665,3,370.3,0.091,0.0,2025-03-16,2025-03-24,False,4,WELCOME10,True,10,No special notes,8.0,False
TXN-300266,ORD-200266,CUST-100266,41.0,Female,2025-06-30,2025-11-30 02:00:00,Uganda,Kampala,0.347596,32.58252,Online,MPesa,KES,Home,PRD-8696,1,1930.04,0.073,1030.78,2025-11-28,2025-12-05,False,4,NONE,True,28,Customer called support,7.0,False
TXN-300557,ORD-200557,CUST-100557,46.0,Male,2022-10-20,2023-05-03 08:00:00,Kenya,Eldoret,0.52036,35.269779,Online,PayPal,KES,Electronics,PRD-1160,1,11865.57,0.145,1256.12,2023-04-28,2023-05-03,False,4,LOYAL5,False,114,Used promo code,5.0,False
TXN-300826,ORD-200826,CUST-100826,54.0,Female,2025-04-16,2025-09-23 15:00:00,Tanzania,Mwanza,-2.5164,32.9179,In-Store,,KES,Beauty,PRD-9289,3,733.03,0.26,188.44,2025-09-19,2025-09-21,False,4,WELCOME10,False,18,Requested gift wrap,2.0,False
TXN-300580,ORD-200580,CUST-100580,62.0,Male,2024-01-13,2024-03-12 14:00:00,Ethiopia,Addis Ababa,8.9806,38.7578,Online,Cash,KES,Home,PRD-7782,3,1526.2,0.292,1147.5,2024-03-22,2024-03-27,False,4,NONE,True,44,Customer called support,5.0,False
TXN-300327,ORD-200327,CUST-100327,32.0,Female,2023-08-22,2024-08-01 06:00:00,Uganda,Kampala,0.347596,32.58252,Online,Credit Card,KES,Clothing,PRD-3685,1,1539.69,0.192,641.14,2024-08-03,2024-08-08,False,4,FLASH20,False,19,No special notes,5.0,False
TXN-300623,ORD-200623,CUST-100623,54.0,Male,2023-04-06,2023-12-04 09:00:00,Tanzania,Arusha,-3.3869,36.6829,In-Store,MPesa,KES,Home,PRD-5880,1,416.83,0.106,0.0,2023-12-12,2023-12-14,False,4,NONE,False,4,First-time buyer,2.0,False
TXN-300365,ORD-200365,CUST-100365,46.0,Male,2025-05-13,2025-08-18 23:00:00,Tanzania,Arusha,-3.3869,36.6829,Online,Credit Card,KES,Home,PRD-6888,3,2829.98,0.114,565.44,2025-08-14,2025-08-23,False,5,NONE,False,81,Customer called support,9.0,False
TXN-300765,ORD-200765,CUST-100765,61.0,Male,2024-07-30,2024-08-30 20:00:00,Kenya,Nairobi,-1.286389,36.817223,Online,Credit Card,KES,Groceries,PRD-7992,2,224.56,0.158,507.66,2024-09-07,2024-09-07,False,4,NONE,False,9,Delayed shipment,0.0,False
TXN-300198,ORD-200198,CUST-100198,35.0,Female,2023-02-10,2023-09-18 12:00:00,Uganda,Gulu,2.7746,32.2989,In-Store,MPesa,KES,Clothing,PRD-2750,1,1296.68,0.174,1218.74,2023-09-11,2023-09-15,False,5,WELCOME10,False,23,No special notes,4.0,False
TXN-300456,ORD-200456,CUST-100456,22.0,Female,2024-02-15,2024-10-18 10:00:00,Tanzania,Arusha,-3.3869,36.6829,In-Store,Credit Card,KES,Electronics,PRD-9134,3,15465.46,0.0,1670.4,2024-10-14,2024-10-24,False,4,NONE,False,481,No special notes,10.0,False
TXN-300465,ORD-200465,CUST-100465,59.0,Female,2023-02-09,2023-07-01 05:00:00,Ethiopia,Adama,8.5406,39.27,Online,MPesa,KES,Home,PRD-8657,1,1616.15,0.063,501.35,2023-07-09,2023-07-18,False,4,NONE,False,20,Used promo code,9.0,False
TXN-300311,ORD-200311,CUST-100311,23.0,Female,2023-06-04,2024-01-03 09:00:00,Tanzania,Dar es Salaam,-6.7924,39.2083,Online,Credit Card,KES,Health,PRD-2497,3,1218.01,0.0,554.93,2024-01-05,2024-01-07,False,4,NONE,False,42,First-time buyer,2.0,False
